op,ncc,gcc,slcc
1.0,0.005464480874316945,1.0,0.0
0.9945355191256812,0.01092896174863389,0.9945355191256812,0.0
0.9890710382513671,0.01661202185792351,0.9888524590163945,5.46448087431694E-5
0.9836065573770479,0.02273224043715849,0.9827322404371571,1.639344262295082E-4
0.9781420765027338,0.028196721311475367,0.9773224043715861,1.639344262295082E-4
0.972677595628415,0.03393442622950822,0.9716393442622947,2.73224043715847E-4
0.9672131147540988,0.039398907103825064,0.9661748633879786,3.278688524590164E-4
0.9617486338797799,0.044863387978142114,0.9607103825136598,3.278688524590164E-4
0.9562841530054653,0.05032786885245902,0.9552459016393451,2.73224043715847E-4
0.9508196721311467,0.05601092896174855,0.9495628415300539,3.825136612021858E-4
0.9453551912568325,0.06147540983606548,0.9440983606557394,3.278688524590164E-4
0.9398907103825137,0.06693989071038256,0.9386338797814209,2.73224043715847E-4
0.9344262295081953,0.07262295081967224,0.9329508196721298,3.278688524590164E-4
0.9289617486338809,0.0783060109289616,0.9272677595628427,4.371584699453552E-4
0.9234972677595619,0.08382513661202182,0.9218032786885236,5.46448087431694E-4
0.9180327868852476,0.08928961748633889,0.9163387978142091,5.46448087431694E-4
0.9125683060109292,0.0949180327868853,0.9108743169398907,6.010928961748634E-4
0.9071038251366123,0.10049180327868852,0.9054098360655742,7.103825136612023E-4
0.9016393442622938,0.10601092896174856,0.8999453551912556,6.557377049180328E-4
0.8961748633879787,0.11163934426229499,0.8944262295081971,7.103825136612023E-4
0.8907103825136605,0.117049180327869,0.8890163934426224,7.103825136612023E-4
0.8852459016393459,0.12278688524590153,0.8833333333333347,8.196721311475412E-4
0.8797814207650275,0.12863387978142096,0.8774863387978147,8.743169398907107E-4
0.8743169398907092,0.13415300546448095,0.8720218579234963,0.001038251366120219
0.8688524590163946,0.13999999999999996,0.8662295081967224,0.0012568306010928968
0.8633879781420759,0.14551912568306025,0.8607650273224037,0.0013114754098360662
0.8579234972677612,0.15120218579234973,0.8550819672131164,0.0013114754098360662
0.8524590163934405,0.15655737704918019,0.8497267759562823,0.0013114754098360662
0.8469945355191258,0.16196721311475426,0.8443169398907107,0.0012568306010928968
0.8415300546448077,0.16775956284153007,0.8385245901639337,0.0012021857923497274
0.8360655737704923,0.17322404371584735,0.8330601092896177,0.0013114754098360662
0.8306010928961741,0.17896174863387984,0.8273224043715842,0.001420765027322405
0.8251366120218594,0.18464480874316933,0.8218579234972688,0.0015846994535519134
0.8196721311475413,0.19021857923497265,0.8163934426229514,0.0016939890710382524
0.8142076502732233,0.19568306010928957,0.8109289617486334,0.0016939890710382524
0.8087431693989084,0.2012021857923497,0.8054644808743181,0.0016939890710382524
0.8032786885245901,0.20672131147541,0.7999999999999996,0.0018032786885245912
0.7978142076502749,0.21218579234972662,0.7945355191256845,0.0018579234972677609
0.7923497267759544,0.21754098360655705,0.789180327868851,0.0017486338797814218
0.7868852459016393,0.22300546448087422,0.7837704918032786,0.0018032786885245912
0.7814207650273215,0.2285792349726777,0.778306010928961,0.0015846994535519134
0.7759562841530057,0.2341530054644811,0.7728415300546448,0.001639344262295083
0.7704918032786879,0.23983606557377046,0.7671584699453549,0.0016939890710382524
0.7650273224043704,0.24579234972677574,0.7613661202185787,0.0018579234972677609
0.7595628415300552,0.25153005464480865,0.7556830601092902,0.0019125683060109303
0.7540983606557375,0.25721311475409864,0.75,0.0019125683060109303
0.7486338797814216,0.26284153005464483,0.7444262295081973,0.0020218579234972693
0.7431693989071042,0.2685792349726776,0.7389617486338799,0.002240437158469947
0.7377049180327886,0.2740437158469943,0.733497267759564,0.002240437158469947
0.7322404371584683,0.2794535519125682,0.7280874316939878,0.002240437158469947
0.7267759562841526,0.2851912568306009,0.7226229508196718,0.002459016393442625
0.7213114754098355,0.2906010928961749,0.7172131147540979,0.002349726775956286
0.715846994535519,0.29612021857923504,0.7118032786885248,0.0024043715846994553
0.7103825136612018,0.30153005464480864,0.7063934426229507,0.002240437158469947
0.7049180327868847,0.3069398907103823,0.7009836065573768,0.0022950819672131165
0.699453551912569,0.312896174863388,0.695191256830602,0.0024043715846994553
0.6939890710382518,0.3184153005464483,0.6897267759562845,0.002349726775956286
0.6885245901639352,0.3238797814207652,0.6843169398907106,0.0022950819672131165
0.6830601092896182,0.3294535519125683,0.6789071038251367,0.0025683060109289637
0.6775956284153023,0.3352459016393444,0.6731147540983616,0.0026775956284153025
0.6721311475409821,0.34087431693989084,0.667486338797813,0.0027868852459016413
0.6666666666666659,0.3463934426229512,0.66207650273224,0.002841530054644811
0.6612021857923485,0.35207650273224045,0.6564480874316933,0.002841530054644811
0.6557377049180323,0.35754098360655734,0.650983606557377,0.002841530054644811
0.6502732240437156,0.363005464480874,0.6455191256830602,0.0027868852459016413
0.6448087431693991,0.3683606557377047,0.64016393442623,0.0027322404371584717
0.6393442622950828,0.373934426229508,0.634590163934427,0.0027322404371584717
0.6338797814207662,0.379672131147541,0.6289617486338809,0.002841530054644811
0.628415300546449,0.38513661202185806,0.6234972677595633,0.002841530054644811
0.6229508196721324,0.39065573770491807,0.6180874316939895,0.002841530054644811
0.6174863387978159,0.39628415300546477,0.6124590163934429,0.00289617486338798
0.6120218579234962,0.4018032786885249,0.6071038251366112,0.0029508196721311497
0.6065573770491796,0.4072131147540987,0.6017486338797808,0.0027868852459016413
0.6010928961748623,0.4128415300546449,0.5961202185792343,0.0029508196721311497
0.5956284153005457,0.41836065573770465,0.5907103825136608,0.0031693989071038277
0.5901639344262294,0.423715846994535,0.5853551912568307,0.003114754098360658
